MDBO,Trace metalloid concentrations in biota
SCOC,Concentration of other organic contaminants in sediment samples
ATEM,Atmospheric emissions
TOCH,Concentration of carbohydrates phenols alkanols (alcohols) aldehydes and ketones in water bodies
F001,Water body lipid concentrations
PHAT,Inorganic phosphorus species concentrations in the atmosphere
TRIS,Concentration of inorganic sulphur species in sediment
SPHT,Concentration of inorganic sulphur species in sediment pore water
PATX,Phytoplankton taxonomic abundance in water bodies
TDNT,Dissolved total and organic nitrogen concentrations in the water column
HLAT,Concentration of inorganic halogens in the atmosphere
WRAD,Radioactivity in the water column
PPRD,Primary production in the water column
ABAG,Suspended particulate material aggregates
PHBI,Pharmaceutical concentrations in biota
VIRU,Virus abundance in water bodies
SCOX,Dissolved concentration parameters for other gases in the water column
MMST,Man-made structures
SPGS,Suspended particulate material grain size parameters
CNTX,Phytoplankton generic biomass in water bodies
PASR,Passive seismic refraction
CEBH,Cetacean behaviour
BCAH,Concentration of polycyclic aromatic hydrocarbons (PAHs) in biota
MTAT,Metal concentrations in the atmosphere
OMPW,Organometallic and organometalloid species concentration parameters in sediments
EXCR,Excretion rate parameters in the water column
MXLM,Structure and stability of the water column
OPWC,Unclassified pigment concentrations in the water column
MSBD,Zooplankton dry weight biomass per unit volume of the water column
SLCA,Silicate concentration parameters in the water column
TCNT,Raw temperature and/or salinity instrument output
FATM,Fish morphology age and physiology
TCO2,Total dissolved inorganic carbon (TCO2) concentration in the water column
SAMO,Nutrient fluxes between the bed and the water column
TD00,Terrestrial detritus in the water column suspended particulate material
MSBO,Zooplankton ash-free dry weight biomass per unit volume of the water column
IPHY,Snow and ice physical properties and characteristics
TDPX,Dissolved total or organic phosphorus concentration in the water column
FATX,Fish abundance in water bodies
EPSI,Turbulence in the water column
SALK,Concentration of aliphatic hydrocarbons in sediment samples
BRAD,Radioactivity in biota
FIBM,Fish biomass in water bodies
MINC,Mineral chemistry
ACFL,Quality control flags
BLUM,Bioluminescence parameters
EXCO,Light extinction and diffusion coefficients
CING,Particulate inorganic carbon concentrations in the water column
ZNTN,Zooplankton non taxonomy-related biomass expressed as nitrogen per unit volume of the water column
RPOT,Redox potential in sediment
RMIN,Inorganic chemical composition of sediment or rocks
HEXC,Dissolved noble gas concentration parameters in the water column
WQBI,Water quality bioindicators
ZNTC,Zooplankton non taxonomy-related biomass expressed as carbon per unit volume of the water column
DMST,Organosulphur and organoselenium species concentration parameters in water bodies
LITH,Lithology
ZNTX,Zooplankton non taxonomy-related abundance per unit volume of the water column
ZNTP,Zooplankton non taxonomy-related biomass expressed as protein per unit volume of the water column
LITT,Litter abundance and type
TPHS,Particulate total and organic phosphorus concentrations in the water column
GP005,Fish disease and parasites
SBPH,Seabed photography
HLDE,Other halocarbon dynamics in water bodies
GP001,Pollution events
MBAN,Bathymetry and Elevation
GP004,Bird reproduction
RBSC,Radar backscatter
FPRT,Zooplankton defecation rates in the water column
CLTY,Cloud type
LVLT,Raw light meter output
UVRD,Ultra-violet (UV) radiation
NOYS,Acoustic noise in the water column
TMES,Metadata parameters
GP018,Cetacean reproduction
GP012,Macroalgae and seagrass infection and damage
GP010,Bioassay and contaminant biological impact
BRDD,Bird taxonomy-related abundance per unit area of surface
OCAA,Concentration of other organic contaminants in the atmosphere
BRDA,Bird counts
SR2D,Two-dimensional seismic reflection
BABI,Bacteria in biota
PEBI,Pesticide concentrations in biota
